epoch,loss,mae,val_loss,val_mae
0,57.036678314208984,6.884591102600098,55.36033248901367,6.737005233764648
1,47.759979248046875,6.173997402191162,49.5533447265625,6.291208744049072
2,42.455013275146484,5.728187084197998,45.54317092895508,5.963953495025635
3,38.81354904174805,5.400933742523193,42.49470520019531,5.702643871307373
4,36.05959701538086,5.139632701873779,40.03437423706055,5.482682704925537
5,33.84722137451172,4.919682025909424,37.96649932861328,5.29074764251709
6,31.9957332611084,4.727758884429932,36.17736053466797,5.118885040283203
7,30.40036392211914,4.555907726287842,34.595706939697266,4.97705078125
8,28.995595932006836,4.41131067276001,33.17424774169922,4.847006320953369
9,27.738014221191406,4.284974575042725,31.880126953125,4.725102424621582
10,26.597505569458008,4.172647476196289,30.689611434936523,4.616065979003906
11,25.552356719970703,4.069511890411377,29.585002899169922,4.518972873687744
12,24.58639907836914,3.973376750946045,28.552715301513672,4.4257330894470215
13,23.68724822998047,3.8855652809143066,27.582056045532227,4.335666656494141
14,22.84518051147461,3.8049395084381104,26.664403915405273,4.250391006469727
15,22.05239486694336,3.7296183109283447,25.79266929626465,4.176431655883789
16,21.30248260498047,3.6561920642852783,24.960918426513672,4.103938579559326
17,20.590124130249023,3.588391065597534,24.16407585144043,4.0325751304626465
18,19.910799026489258,3.5250442028045654,23.397762298583984,3.9620296955108643
19,19.260639190673828,3.4655280113220215,22.658140182495117,3.8954315185546875
20,18.636301040649414,3.4082190990448,21.94183349609375,3.8363735675811768
21,18.034873962402344,3.3514020442962646,21.2458553314209,3.7772715091705322
22,17.453840255737305,3.2983193397521973,20.56758689880371,3.7178874015808105
23,16.891036987304688,3.2482082843780518,19.90477180480957,3.657987117767334
24,16.344667434692383,3.2006444931030273,19.255535125732422,3.597338914871216
25,15.813299179077148,3.155749797821045,18.618431091308594,3.536290168762207
26,15.295920372009277,3.113166093826294,17.992511749267578,3.484907388687134
27,14.791979789733887,3.069765329360962,17.377405166625977,3.432413101196289
28,14.301457405090332,3.0291924476623535,16.773418426513672,3.3786933422088623
29,13.824925422668457,2.9916443824768066,16.181621551513672,3.3236825466156006
30,13.363614082336426,2.9571352005004883,15.603930473327637,3.2673816680908203
